X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,material_consumption
0.0,0.0,0.5,-0.073617,1.0,0.0,0.050045,-0.426202,0.8,-0.7,4.603000000000001
0.0,0.0,0.5,0.227725,1.0,0.0,0.296065,-0.943466,0.8,-0.7,6.024
0.0,0.0,0.5,-0.105278,1.0,0.0,0.097472,-0.804835,0.8,-0.7,5.159999999999999
0.0,0.0,0.5,-0.103385,1.0,0.0,0.070487,-0.914666,0.8,-0.7,5.452
0.0,0.0,0.5,0.111094,1.0,0.0,0.118614,-0.936639,0.8,-0.7,5.87
0.0,0.0,0.5,0.193901,1.0,0.0,0.228101,-0.581495,0.8,-0.7,5.191999999999999
0.0,0.0,0.5,-0.146052,1.0,0.0,0.162082,-0.50562,0.8,-0.7,4.449
0.0,0.0,0.5,0.287522,1.0,0.0,0.21097,-0.743642,0.8,-0.7,5.817
0.0,0.0,0.5,-0.105537,1.0,0.0,0.154784,-0.575328,0.8,-0.7,4.624
0.0,0.0,0.5,-0.070507,1.0,0.0,0.260317,-0.788225,0.8,-0.7,4.969
0.0,0.0,0.5,-0.206635,1.0,0.0,0.039899,-0.933769,0.8,-0.7,5.414000000000001
0.0,0.0,0.5,-0.242397,1.0,0.0,0.092735,-0.686662,0.8,-0.7,4.774
0.0,0.0,0.5,0.271014,1.0,0.0,0.107617,-0.540547,0.8,-0.7,5.487
0.0,0.0,0.5,-0.010447,1.0,0.0,0.054039,-0.473396,0.8,-0.7,4.763
0.0,0.0,0.5,0.192803,1.0,0.0,0.03859,-0.738441,0.8,-0.7,5.745
0.0,0.0,0.5,-0.167816,1.0,0.0,0.026469,-0.426309,0.8,-0.7,4.547
0.0,0.0,0.5,-0.035118,1.0,0.0,0.267358,-0.795451,0.8,-0.7,5.041
0.0,0.0,0.5,0.173571,1.0,0.0,0.163538,-0.819419,0.8,-0.7,5.7010000000000005
0.0,0.0,0.5,-0.195512,1.0,0.0,0.19697,-0.916608,0.8,-0.7,5.165
0.0,0.0,0.5,-0.158404,1.0,0.0,0.10524,-0.720635,0.8,-0.7,4.901
0.0,0.0,0.5,-0.293458,1.0,0.0,0.248069,-0.614267,0.8,-0.7,4.3740000000000006
0.0,0.0,0.5,-0.210744,1.0,0.0,0.240301,-0.728051,0.8,-0.7,4.6690000000000005
0.0,0.0,0.5,-0.131399,1.0,0.0,0.294214,-0.591745,0.8,-0.7,4.445
0.0,0.0,0.5,0.269777,1.0,0.0,0.191278,-0.804665,0.8,-0.7,5.919
0.0,0.0,0.5,-0.209823,1.0,0.0,0.297068,-0.501904,0.8,-0.7,4.205
0.0,0.0,0.5,-0.240874,1.0,0.0,0.286485,-0.513185,0.8,-0.7,4.205
0.0,0.0,0.5,-0.003123,1.0,0.0,0.061654,-0.45026,0.8,-0.7,4.727
0.0,0.0,0.5,0.013662,1.0,0.0,0.273744,-0.818685,0.8,-0.7,5.1850000000000005
0.0,0.0,0.5,0.197442,1.0,0.0,0.013691,-0.842678,0.8,-0.7,6.025
0.0,0.0,0.5,0.100599,1.0,0.0,0.232812,-0.469351,0.8,-0.7,4.751
0.0,0.0,0.5,-0.033052,1.0,0.0,0.070263,-0.985898,0.8,-0.7,5.741
0.0,0.0,0.5,-0.038143,1.0,0.0,0.159549,-0.623662,0.8,-0.7,4.811
0.0,0.0,0.5,0.263957,1.0,0.0,0.256963,-0.536103,0.8,-0.7,5.292
0.0,0.0,0.5,0.267277,1.0,0.0,0.238091,-0.614911,0.8,-0.7,5.462
0.0,0.0,0.5,-0.082932,1.0,0.0,0.253695,-0.802289,0.8,-0.7,4.987
